Wind speed,Linear,Nonlinear,IMF1+IMF2,Linear_Subseries,Nonlinear(t-1),Nonlinear(t-2),Nonlinear(t-3),Nonlinear(t-4),Linear_Pred,Nonlinear_Pred,y(t-1),y(t-2),y(t-3),y(t-4),Linear_Subseries_Pred
13.57,14.399,-0.832,-1.552,15.119,0.418,0.227,-0.038,-0.526,14.232,-0.81,15.275,16.124,16.294,15.124,15.128
15.37,14.998,0.37,0.569,14.799,-0.832,0.418,0.227,-0.038,14.969,0.4,13.567,15.275,16.124,16.294,14.804
15.86,15.51,0.352,1.374,14.487,0.37,-0.832,0.418,0.227,15.839,0.333,15.368,13.567,15.275,16.124,14.493
14.92,15.081,-0.161,0.665,14.255,0.352,0.37,-0.832,0.418,14.925,-0.246,15.862,15.368,13.567,15.275,14.243
13.61,14.151,-0.543,-0.516,14.125,-0.161,0.352,0.37,-0.832,14.347,-0.433,14.921,15.862,15.368,13.567,14.145
14.46,13.53,0.934,0.445,14.018,-0.543,-0.161,0.352,0.37,13.651,0.664,13.609,14.921,15.862,15.368,14.081
12.69,13.321,-0.633,-1.145,13.833,0.934,-0.543,-0.161,0.352,13.405,-0.604,14.464,13.609,14.921,15.862,13.855
13.56,13.35,0.207,0.075,13.482,-0.633,0.934,-0.543,-0.161,13.148,0.043,12.688,14.464,13.609,14.921,13.522
13.32,13.243,0.079,0.373,12.95,0.207,-0.633,0.934,-0.543,13.546,-0.02,13.557,12.688,14.464,13.609,12.937
12.61,12.85,-0.243,0.337,12.27,0.079,0.207,-0.633,0.934,12.805,-0.244,13.323,13.557,12.688,14.464,12.28
12.31,11.956,0.359,0.81,11.504,-0.243,0.079,0.207,-0.633,12.447,0.251,12.607,13.323,13.557,12.688,11.506
10.38,10.543,-0.163,-0.371,10.751,0.359,-0.243,0.079,0.207,10.793,-0.28,12.315,12.607,13.323,13.557,10.732
9.12,9.297,-0.18,-1.002,10.119,-0.163,0.359,-0.243,0.079,9.253,-0.105,10.38,12.315,12.607,13.323,10.109
9.25,8.894,0.359,-0.463,9.717,-0.18,-0.163,0.359,-0.243,8.901,0.284,9.117,10.38,12.315,12.607,9.676
9.07,9.348,-0.275,-0.547,9.619,0.359,-0.18,-0.163,0.359,9.198,-0.198,9.253,9.117,10.38,12.315,9.593
10.34,10.263,0.082,0.565,9.78,-0.275,0.359,-0.18,-0.163,9.918,0.081,9.072,9.253,9.117,10.38,9.824
11.1,11.013,0.091,0.986,10.117,0.082,-0.275,0.359,-0.18,11.094,0.044,10.345,9.072,9.253,9.117,10.089
11.07,11.231,-0.162,0.511,10.558,0.091,0.082,-0.275,0.359,11.197,-0.092,11.103,10.345,9.072,9.253,10.555
11.33,11.123,0.203,0.285,11.041,-0.162,0.091,0.082,-0.275,11.073,0.122,11.069,11.103,10.345,9.072,11.018
11.02,11.057,-0.042,-0.467,11.482,0.203,-0.162,0.091,0.082,11.123,-0.143,11.326,11.069,11.103,10.345,11.51
10.91,11.171,-0.264,-0.893,11.801,-0.042,0.203,-0.162,0.091,11.144,-0.118,11.015,11.326,11.069,11.103,11.81
11.77,11.444,0.326,-0.199,11.968,-0.264,-0.042,0.203,-0.162,11.301,0.346,10.907,11.015,11.326,11.069,11.956
11.87,11.854,0.021,-0.137,12.011,0.326,-0.264,-0.042,0.203,11.764,-0.068,11.769,10.907,11.015,11.326,11.997
12.17,12.422,-0.253,0.201,11.969,0.021,0.326,-0.264,-0.042,12.257,-0.277,11.875,11.769,10.907,11.015,11.974
12.82,12.768,0.052,0.943,11.878,-0.253,0.021,0.326,-0.264,12.967,0.132,12.169,11.875,11.769,10.907,11.879
12.57,12.333,0.239,0.795,11.777,0.052,-0.253,0.021,0.326,12.592,0.238,12.821,12.169,11.875,11.769,11.772
11.4,11.391,0.008,-0.303,11.702,0.239,0.052,-0.253,0.021,11.352,-0.192,12.572,12.821,12.169,11.875,11.701
10.55,11.047,-0.502,-1.147,11.692,0.008,0.239,0.052,-0.253,10.839,-0.366,11.399,12.572,12.821,12.169,11.681
12.31,11.719,0.59,0.535,11.774,-0.502,0.008,0.239,0.052,11.707,0.531,10.545,11.399,12.572,12.821,11.764
12.17,12.388,-0.219,0.236,11.932,0.59,-0.502,0.008,0.239,12.547,-0.153,12.309,10.545,11.399,12.572,11.944
12.29,12.33,-0.043,0.143,12.144,-0.219,0.59,-0.502,0.008,12.126,-0.121,12.168,12.309,10.545,11.399,12.131
12.01,11.957,0.056,-0.377,12.39,-0.043,-0.219,0.59,-0.502,12.006,0.012,12.287,12.168,12.309,10.545,12.387
12.21,12.177,0.036,-0.438,12.652,0.056,-0.043,-0.219,0.59,11.941,0.005,12.013,12.287,12.168,12.309,12.645
12.94,13.028,-0.09,0.04,12.898,0.036,0.056,-0.043,-0.219,13.009,-0.021,12.214,12.013,12.287,12.168,12.903
13.67,13.652,0.017,0.574,13.095,-0.09,0.036,0.056,-0.043,13.684,0.056,12.938,12.214,12.013,12.287,13.101
13.7,13.508,0.19,0.489,13.209,0.017,-0.09,0.036,0.056,13.555,0.089,13.669,12.938,12.214,12.013,13.223
12.76,12.994,-0.235,-0.452,13.21,0.19,0.017,-0.09,0.036,12.987,-0.226,13.698,13.669,12.938,12.214,13.225
12.77,12.772,-0.007,-0.333,13.098,-0.235,0.19,0.017,-0.09,12.819,0.078,12.758,13.698,13.669,12.938,13.097
13.08,12.822,0.255,0.19,12.887,-0.007,-0.235,0.19,0.017,12.932,0.224,12.765,12.758,13.698,13.669,12.898
12.59,12.777,-0.183,-0.045,12.638,0.255,-0.007,-0.235,0.19,12.74,-0.189,13.077,12.765,12.758,13.698,12.609
12.51,12.593,-0.08,0.09,12.424,-0.183,0.255,-0.007,-0.235,12.572,-0.042,12.593,13.077,12.765,12.758,12.424
12.53,12.333,0.201,0.246,12.288,-0.08,-0.183,0.255,-0.007,12.515,0.193,12.514,12.593,13.077,12.765,12.294
11.96,12.072,-0.108,-0.265,12.229,0.201,-0.08,-0.183,0.255,12.039,-0.056,12.534,12.514,12.593,13.077,12.246
11.95,11.959,-0.013,-0.289,12.235,-0.108,0.201,-0.08,-0.183,11.909,-0.012,11.964,12.534,12.514,12.593,12.225
12.21,12.111,0.097,-0.078,12.285,-0.013,-0.108,0.201,-0.08,12.061,0.041,11.946,11.964,12.534,12.514,12.285
12.28,12.438,-0.163,-0.046,12.321,0.097,-0.013,-0.108,0.201,12.385,-0.063,12.207,11.946,11.964,12.534,12.351
12.72,12.589,0.134,0.446,12.277,-0.163,0.097,-0.013,-0.108,12.674,0.158,12.275,12.207,11.946,11.964,12.293
12.27,12.263,0.002,0.165,12.101,0.134,-0.163,0.097,-0.013,12.417,-0.011,12.723,12.275,12.207,11.946,12.121
11.7,11.677,0.027,-0.11,11.814,0.002,0.134,-0.163,0.097,11.677,-0.074,12.265,12.723,12.275,12.207,11.783
10.96,11.187,-0.224,-0.488,11.452,0.027,0.002,0.134,-0.163,11.342,-0.112,11.704,12.265,12.723,12.275,11.473
11.3,10.944,0.354,0.24,11.058,-0.224,0.027,0.002,0.134,10.945,0.278,10.964,11.704,12.265,12.723,11.053
10.67,10.835,-0.169,-0.037,10.703,0.354,-0.224,0.027,0.002,10.862,-0.188,11.298,10.964,11.704,12.265,10.681
10.83,10.812,0.021,0.375,10.458,-0.169,0.354,-0.224,0.027,10.729,-0.092,10.666,11.298,10.964,11.704,10.446
10.58,10.623,-0.045,0.241,10.337,0.021,-0.169,0.354,-0.224,10.898,-0.021,10.833,10.666,11.298,10.964,10.359
10.39,10.222,0.166,0.051,10.337,-0.045,0.021,-0.169,0.354,10.139,0.114,10.578,10.833,10.666,11.298,10.317
10.08,9.966,0.114,-0.376,10.457,0.166,-0.045,0.021,-0.169,9.921,-0.135,10.389,10.578,10.833,10.666,10.44
9.84,10.276,-0.437,-0.842,10.681,0.114,0.166,-0.045,0.021,10.095,-0.397,10.08,10.389,10.578,10.833,10.668
11.44,11.073,0.367,0.471,10.969,-0.437,0.114,0.166,-0.045,10.958,0.356,9.839,10.08,10.389,10.578,10.978
11.94,11.766,0.178,0.669,11.275,0.367,-0.437,0.114,0.166,11.73,0.011,11.44,9.839,10.08,10.389,11.276
11.86,12.213,-0.353,0.306,11.554,0.178,0.367,-0.437,0.114,11.945,-0.464,11.944,11.44,9.839,10.08,11.555
12.81,12.638,0.173,1.054,11.757,-0.353,0.178,0.367,-0.437,12.63,0.038,11.859,11.944,11.44,9.839,11.766
12.91,12.869,0.045,1.073,11.841,0.173,-0.353,0.178,0.367,13.07,0.039,12.811,11.859,11.944,11.44,11.86
12.73,12.603,0.125,0.955,11.773,0.045,0.173,-0.353,0.178,12.65,-0.039,12.914,12.811,11.859,11.944,11.785
11.66,11.858,-0.194,0.093,11.571,0.125,0.045,0.173,-0.353,12.07,-0.316,12.728,12.914,12.811,11.859,11.558
11.1,10.995,0.1,-0.167,11.262,-0.194,0.125,0.045,0.173,11.155,0.015,11.664,12.728,12.914,12.811,11.286
10.16,10.108,0.053,-0.713,10.873,0.1,-0.194,0.125,0.045,10.433,0.047,11.095,11.664,12.728,12.914,10.886
9.2,9.204,-0.002,-1.231,10.434,0.053,0.1,-0.194,0.125,9.262,-0.073,10.161,11.095,11.664,12.728,10.447
8.54,8.606,-0.067,-1.429,9.969,-0.002,0.053,0.1,-0.194,8.553,-0.107,9.202,10.161,11.095,11.664,9.976
8.81,8.77,0.04,-0.691,9.5,-0.067,-0.002,0.053,0.1,8.547,0.042,8.539,9.202,10.161,11.095,9.506
9.61,9.544,0.065,0.551,9.057,0.04,-0.067,-0.002,0.053,9.487,0.054,8.809,8.539,9.202,10.161,9.051
9.84,9.95,-0.105,1.169,8.676,0.065,0.04,-0.067,-0.002,10.156,-0.08,9.608,8.809,8.539,9.202,8.67
9.34,9.304,0.035,0.961,8.378,-0.105,0.065,0.04,-0.067,9.486,0.055,9.845,9.608,8.809,8.539,8.374
8.42,8.233,0.192,0.267,8.158,0.035,-0.105,0.065,0.04,8.19,0.062,9.339,9.845,9.608,8.809,8.173
7.66,7.847,-0.19,-0.37,8.027,0.192,0.035,-0.105,0.065,7.833,-0.253,8.425,9.339,9.845,9.608,7.994
8.14,8.227,-0.083,0.142,8.003,-0.19,0.192,0.035,-0.105,8.286,-0.007,7.656,8.425,9.339,9.845,7.987
8.55,8.438,0.109,0.442,8.105,-0.083,-0.19,0.192,0.035,8.541,0.261,8.145,7.656,8.425,9.339,8.077
8.38,8.129,0.253,0.035,8.347,0.109,-0.083,-0.19,0.192,7.983,0.119,8.547,8.145,7.656,8.425,8.328
7.85,8.131,-0.28,-0.872,8.722,0.253,0.109,-0.083,-0.19,7.859,-0.415,8.382,8.547,8.145,7.656,8.712
8.66,9.081,-0.425,-0.564,9.22,-0.28,0.253,0.109,-0.083,8.91,-0.051,7.85,8.382,8.547,8.145,9.193
10.92,10.191,0.732,1.109,9.814,-0.425,-0.28,0.253,0.109,10.314,0.799,8.657,7.85,8.382,8.547,9.808
10.41,10.45,-0.045,0.006,10.399,0.732,-0.425,-0.28,0.253,10.376,-0.217,10.923,8.657,7.85,8.382,10.448
9.5,10.444,-0.946,-1.337,10.835,-0.045,0.732,-0.425,-0.28,10.006,-0.616,10.405,10.923,8.657,7.85,10.868
11.93,10.997,0.933,0.907,11.023,-0.946,-0.045,0.732,-0.425,11.142,0.94,9.498,10.405,10.923,8.657,11.03
11.08,11.367,-0.291,0.171,10.905,0.933,-0.946,-0.045,0.732,11.78,-0.308,11.93,9.498,10.405,10.923,10.943
10.46,10.758,-0.3,0.006,10.452,-0.291,0.933,-0.946,-0.045,10.662,-0.29,11.076,11.93,9.498,10.405,10.485
9.79,9.382,0.409,0.046,9.745,-0.3,-0.291,0.933,-0.946,9.801,0.322,10.458,11.076,11.93,9.498,9.716
7.63,8.076,-0.45,-1.265,8.891,0.409,-0.3,-0.291,0.933,8.269,-0.381,9.791,10.458,11.076,11.93,8.925
7.29,7.163,0.125,-0.709,7.996,-0.45,0.409,-0.3,-0.291,7.399,0.249,7.626,9.791,10.458,11.076,7.994
6.23,6.049,0.179,-0.94,7.168,0.125,-0.45,0.409,-0.3,6.528,0.255,7.288,7.626,9.791,10.458,7.17
4.47,4.744,-0.272,-2.029,6.501,0.179,0.125,-0.45,0.409,4.628,-0.142,6.228,7.288,7.626,9.791,6.483
4.13,4.185,-0.057,-1.903,6.031,-0.272,0.179,0.125,-0.45,3.979,0.157,4.472,6.228,7.288,7.626,6.038
5.03,4.872,0.16,-0.711,5.744,-0.057,-0.272,0.179,0.125,4.745,0.342,4.128,4.472,6.228,7.288,5.749
6.27,6.338,-0.071,0.652,5.615,0.16,-0.057,-0.272,0.179,5.941,0.082,5.033,4.128,4.472,6.228,5.602
7.76,7.734,0.029,2.145,5.618,-0.071,0.16,-0.057,-0.272,7.496,0.003,6.267,5.033,4.128,4.472,5.602
8.22,8.327,-0.108,2.492,5.727,0.029,-0.071,0.16,-0.057,8.521,-0.051,7.763,6.267,5.033,4.128,5.71
7.97,7.848,0.127,2.059,5.916,-0.108,0.029,-0.071,0.16,8.079,0.161,8.22,7.763,6.267,5.033,5.91
6.79,6.692,0.102,0.642,6.153,0.127,-0.108,0.029,-0.071,6.903,-0.006,7.975,8.22,7.763,6.267,6.143
5.54,5.694,-0.158,-0.869,6.405,0.102,0.127,-0.108,0.029,5.776,-0.251,6.794,7.975,8.22,7.763,6.4
5.49,5.488,0.004,-1.148,6.64,-0.158,0.102,0.127,-0.108,5.387,0.0,5.536,6.794,7.975,8.22,6.641
6.08,5.98,0.097,-0.749,6.825,0.004,-0.158,0.102,0.127,5.876,0.133,5.492,5.536,6.794,7.975,6.829
6.69,6.606,0.085,-0.25,6.941,0.097,0.004,-0.158,0.102,6.501,-0.012,6.077,5.492,5.536,6.794,6.939
6.85,7.096,-0.248,-0.169,7.017,0.085,0.097,0.004,-0.158,6.896,-0.231,6.691,6.077,5.492,5.536,6.983
7.76,7.482,0.277,0.663,7.096,-0.248,0.085,0.097,0.004,7.473,0.164,6.848,6.691,6.077,5.492,7.097
7.42,7.589,-0.171,0.208,7.209,0.277,-0.248,0.085,0.097,7.77,-0.115,7.759,6.848,6.691,6.077,7.204
7.47,7.358,0.115,0.129,7.344,-0.171,0.277,-0.248,0.085,7.307,0.046,7.418,7.759,6.848,6.691,7.372
7.08,7.071,0.009,-0.392,7.473,0.115,-0.171,0.277,-0.248,7.094,-0.078,7.472,7.418,7.759,6.848,7.466
7.05,7.179,-0.125,-0.521,7.575,0.009,0.115,-0.171,0.277,7.037,-0.1,7.081,7.472,7.418,7.759,7.577
7.77,7.64,0.127,0.139,7.627,-0.125,0.009,0.115,-0.171,7.651,0.136,7.054,7.081,7.472,7.418,7.627
7.83,7.915,-0.082,0.22,7.613,0.127,-0.125,0.009,0.115,7.964,-0.014,7.766,7.054,7.081,7.472,7.622
7.96,7.798,0.161,0.445,7.514,-0.082,0.127,-0.125,0.009,7.744,0.058,7.833,7.766,7.054,7.081,7.529
7.28,7.462,-0.178,-0.049,7.333,0.161,-0.082,0.127,-0.125,7.608,-0.184,7.959,7.833,7.766,7.054,7.333
7.0,7.066,-0.064,-0.114,7.115,-0.178,0.161,-0.082,0.127,7.196,0.072,7.284,7.959,7.833,7.766,7.094
6.76,6.544,0.214,-0.161,6.919,-0.064,-0.178,0.161,-0.082,6.706,0.279,7.001,7.284,7.959,7.833,6.912
6.18,6.164,0.016,-0.621,6.801,0.214,-0.064,-0.178,0.161,5.981,-0.078,6.758,7.001,7.284,7.959,6.781
6.3,6.538,-0.236,-0.503,6.805,0.016,0.214,-0.064,-0.178,6.251,-0.243,6.18,6.758,7.001,7.284,6.793
7.52,7.449,0.069,0.578,6.94,-0.236,0.016,0.214,-0.064,7.533,0.164,6.302,6.18,6.758,7.001,6.944
8.09,7.934,0.16,0.888,7.206,0.069,-0.236,0.016,0.214,7.98,0.223,7.518,6.302,6.18,6.758,7.181
7.85,7.803,0.052,0.251,7.604,0.16,0.069,-0.236,0.016,7.588,-0.113,8.094,7.518,6.302,6.18,7.58
7.72,7.955,-0.235,-0.403,8.123,0.052,0.16,0.069,-0.236,7.737,-0.326,7.855,8.094,7.518,6.302,8.1
8.85,8.813,0.035,0.136,8.711,-0.235,0.052,0.16,0.069,8.81,0.116,7.719,7.855,8.094,7.518,8.725
9.63,9.549,0.082,0.333,9.298,0.035,-0.235,0.052,0.16,9.643,0.254,8.848,7.719,7.855,8.094,9.304
9.77,9.555,0.212,-0.051,9.819,0.082,0.035,-0.235,0.052,9.419,0.053,9.631,8.848,7.719,7.855,9.82
9.19,9.499,-0.314,-1.039,10.224,0.212,0.082,0.035,-0.235,9.264,-0.412,9.768,9.631,8.848,7.719,10.228
9.93,10.243,-0.315,-0.561,10.489,-0.314,0.212,0.082,0.035,10.066,0.06,9.185,9.768,9.631,8.848,10.488
12.03,11.237,0.796,1.439,10.593,-0.315,-0.314,0.212,0.082,11.425,0.75,9.928,9.185,9.768,9.631,10.618
10.87,11.339,-0.466,0.355,10.518,0.796,-0.315,-0.314,0.212,11.406,-0.448,12.033,9.928,9.185,9.768,10.545
10.38,10.685,-0.304,0.127,10.254,-0.466,0.796,-0.315,-0.314,10.571,-0.168,10.873,12.033,9.928,9.185,10.284
10.34,9.98,0.363,0.515,9.828,-0.304,-0.466,0.796,-0.315,10.362,0.565,10.381,10.873,12.033,9.928,9.83
9.28,9.345,-0.062,0.005,9.279,0.363,-0.304,-0.466,0.796,9.566,0.032,10.343,10.381,10.873,12.033,9.302
8.26,8.457,-0.193,-0.38,8.644,-0.062,0.363,-0.304,-0.466,8.649,-0.124,9.284,10.343,10.381,10.873,8.657
7.16,7.132,0.029,-0.8,7.961,-0.193,-0.062,0.363,-0.304,7.501,0.151,8.264,9.284,10.343,10.381,7.979
5.5,5.619,-0.117,-1.765,7.267,0.029,-0.193,-0.062,0.363,5.875,0.245,7.161,8.264,9.284,10.343,7.28
4.65,4.453,0.192,-1.956,6.601,-0.117,0.029,-0.193,-0.062,4.493,0.29,5.502,7.161,8.264,9.284,6.604
3.85,4.105,-0.257,-2.147,5.995,0.192,-0.117,0.029,-0.193,4.003,-0.056,4.646,5.502,7.161,8.264,5.998
4.55,4.643,-0.089,-0.903,5.457,-0.257,0.192,-0.117,0.029,4.408,0.206,3.848,4.646,5.502,7.161,5.467
5.74,5.394,0.342,0.748,4.988,-0.089,-0.257,0.192,-0.117,5.441,0.428,4.554,3.848,4.646,5.502,4.986
5.06,5.437,-0.379,0.47,4.588,0.342,-0.089,-0.257,0.192,5.606,-0.166,5.736,4.554,3.848,4.646,4.588
4.92,4.685,0.238,0.666,4.257,-0.379,0.342,-0.089,-0.257,4.74,0.207,5.058,5.736,4.554,3.848,4.254
3.82,3.83,-0.008,-0.174,3.995,0.238,-0.379,0.342,-0.089,3.963,-0.037,4.922,5.058,5.736,4.554,3.988
3.58,3.725,-0.144,-0.224,3.805,-0.008,0.238,-0.379,0.342,3.499,-0.089,3.821,4.922,5.058,5.736,3.796
4.72,4.445,0.271,1.028,3.689,-0.144,-0.008,0.238,-0.379,4.349,0.135,3.581,3.821,4.922,5.058,3.679
5.08,5.197,-0.116,1.432,3.649,0.271,-0.144,-0.008,0.238,5.204,-0.226,4.716,3.581,3.821,4.922,3.639
5.34,5.381,-0.038,1.654,3.689,-0.116,0.271,-0.144,-0.008,5.315,-0.103,5.081,4.716,3.581,3.821,3.677
5.45,5.048,0.404,1.643,3.809,-0.038,-0.116,0.271,-0.144,5.175,0.044,5.343,5.081,4.716,3.581,3.796
4.3,4.643,-0.346,0.296,4.001,0.404,-0.038,-0.116,0.271,4.7,-0.542,5.453,5.343,5.081,4.716,3.992
4.74,4.584,0.153,0.481,4.255,-0.346,0.404,-0.038,-0.116,4.479,-0.041,4.297,5.453,5.343,5.081,4.241
4.78,4.669,0.111,0.22,4.56,0.153,-0.346,0.404,-0.038,4.858,-0.036,4.736,4.297,5.453,5.343,4.548
4.89,4.725,0.169,-0.011,4.905,0.111,0.153,-0.346,0.404,4.518,-0.184,4.781,4.736,4.297,5.453,4.894
4.49,4.835,-0.347,-0.785,5.273,0.169,0.111,0.153,-0.346,4.817,-0.475,4.894,4.781,4.736,4.297,5.267
5.31,5.09,0.224,-0.328,5.642,-0.347,0.169,0.111,0.153,5.05,0.12,4.487,4.894,4.781,4.736,5.636
5.71,5.384,0.327,-0.282,5.994,0.224,-0.347,0.169,0.111,5.359,0.044,5.315,4.487,4.894,4.781,5.992
5.37,5.86,-0.485,-0.928,6.303,0.327,0.224,-0.347,0.169,5.511,-0.567,5.711,5.315,4.487,4.894,6.305
6.9,6.647,0.249,0.355,6.541,-0.485,0.327,0.224,-0.347,6.585,0.11,5.375,5.711,5.315,4.487,6.552
7.24,7.148,0.092,0.566,6.675,0.249,-0.485,0.327,0.224,7.388,0.04,6.896,5.375,5.711,5.315,6.688
6.71,6.938,-0.228,0.03,6.68,0.092,0.249,-0.485,0.327,6.864,-0.152,7.241,6.896,5.375,5.711,6.696
6.85,6.308,0.544,0.303,6.549,-0.228,0.092,0.249,-0.485,6.448,0.119,6.71,7.241,6.896,5.375,6.557
5.08,5.859,-0.781,-1.205,6.284,0.544,-0.228,0.092,0.249,5.922,-0.698,6.852,6.71,7.241,6.896,6.305
6.52,5.966,0.555,0.62,5.901,-0.781,0.544,-0.228,0.092,5.796,0.476,5.078,6.852,6.71,7.241,5.909
6.17,6.054,0.117,0.693,5.478,0.555,-0.781,0.544,-0.228,6.41,-0.021,6.521,5.078,6.852,6.71,5.444
5.45,5.878,-0.428,0.351,5.099,0.117,0.555,-0.781,0.544,5.574,-0.401,6.171,6.521,5.078,6.852,5.099
5.85,5.578,0.273,1.033,4.818,-0.428,0.117,0.555,-0.781,5.808,0.172,5.449,6.171,6.521,5.078,4.818
5.09,5.092,0.002,0.445,4.649,0.273,-0.428,0.117,0.555,5.35,-0.08,5.851,5.449,6.171,6.521,4.66
4.6,4.442,0.157,-0.002,4.6,0.002,0.273,-0.428,0.117,4.429,-0.045,5.094,5.851,5.449,6.171,4.577
3.63,3.955,-0.326,-1.051,4.681,0.157,0.002,0.273,-0.428,3.938,-0.371,4.599,5.094,5.851,5.449,4.659
4.47,4.169,0.304,-0.415,4.887,-0.326,0.157,0.002,0.273,3.937,0.179,3.63,4.599,5.094,5.851,4.873
4.92,4.939,-0.021,-0.249,5.167,0.304,-0.326,0.157,0.002,4.914,-0.069,4.473,3.63,4.599,5.094,5.191
5.63,5.73,-0.104,0.169,5.456,-0.021,0.304,-0.326,0.157,5.504,-0.175,4.919,4.473,3.63,4.599,5.454
6.32,6.152,0.164,0.627,5.69,-0.104,-0.021,0.304,-0.326,6.17,0.01,5.626,4.919,4.473,3.63,5.705
6.24,6.287,-0.05,0.435,5.802,0.164,-0.104,-0.021,0.304,6.211,-0.136,6.317,5.626,4.919,4.473,5.822
6.45,6.33,0.12,0.718,5.732,-0.05,0.164,-0.104,-0.021,6.409,-0.066,6.237,6.317,5.626,4.919,5.758
5.78,5.988,-0.206,0.34,5.442,0.12,-0.05,0.164,-0.104,6.332,-0.217,6.449,6.237,6.317,5.626,5.46
5.35,5.146,0.2,0.366,4.98,-0.206,0.12,-0.05,0.164,5.213,0.14,5.783,6.449,6.237,6.317,4.956
4.38,4.15,0.229,-0.03,4.409,0.2,-0.206,0.12,-0.05,4.332,-0.055,5.346,5.783,6.449,6.237,4.438
3.01,3.541,-0.53,-0.783,3.795,0.229,0.2,-0.206,0.12,3.55,-0.5,4.379,5.346,5.783,6.449,3.799
3.74,3.397,0.346,0.536,3.208,-0.53,0.229,0.2,-0.206,3.465,0.324,3.011,4.379,5.346,5.783,3.204
3.25,3.074,0.172,0.508,2.738,0.346,-0.53,0.229,0.2,3.366,0.069,3.743,3.011,4.379,5.346,2.704
2.19,2.457,-0.271,-0.26,2.446,0.172,0.346,-0.53,0.229,2.289,-0.364,3.246,3.743,3.011,4.379,2.446
2.14,2.123,0.019,-0.203,2.345,-0.271,0.172,0.346,-0.53,2.097,-0.031,2.186,3.246,3.743,3.011,2.338
2.5,2.331,0.17,0.066,2.436,0.019,-0.271,0.172,0.346,2.369,0.16,2.142,2.186,3.246,3.743,2.413
2.67,2.743,-0.074,-0.008,2.676,0.17,0.019,-0.271,0.172,2.64,-0.059,2.501,2.142,2.186,3.246,2.683
3.03,3.027,0.007,0.029,3.005,-0.074,0.17,0.019,-0.271,2.913,-0.085,2.669,2.501,2.142,2.186,2.996
3.2,3.273,-0.075,-0.157,3.354,0.007,-0.074,0.17,0.019,3.194,-0.045,3.034,2.669,2.501,2.142,3.359
3.91,3.696,0.212,0.242,3.665,-0.075,0.007,-0.074,0.17,3.578,0.147,3.197,3.034,2.669,2.501,3.656
3.8,4.088,-0.287,-0.117,3.919,0.212,-0.075,0.007,-0.074,4.18,-0.17,3.908,3.197,3.034,2.669,3.898
4.44,4.123,0.314,0.325,4.112,-0.287,0.212,-0.075,0.007,4.134,0.186,3.801,3.908,3.197,3.034,4.117
3.68,3.916,-0.238,-0.598,4.276,0.314,-0.287,0.212,-0.075,3.875,-0.182,4.437,3.801,3.908,3.197,4.249
4.12,4.093,0.022,-0.325,4.44,-0.238,0.314,-0.287,0.212,3.844,0.09,3.678,4.437,3.801,3.908,4.444
4.99,4.729,0.258,0.365,4.622,0.022,-0.238,0.314,-0.287,4.811,0.153,4.115,3.678,4.437,3.801,4.615
4.87,5.318,-0.446,0.023,4.848,0.258,0.022,-0.238,0.314,5.191,-0.277,4.987,4.115,3.678,4.437,4.83
5.92,5.463,0.458,0.782,5.139,-0.446,0.258,0.022,-0.238,5.486,0.335,4.871,4.987,4.115,3.678,5.126
5.03,5.187,-0.156,-0.463,5.494,0.458,-0.446,0.258,0.022,5.312,-0.216,5.921,4.871,4.987,4.115,5.493
5.0,5.234,-0.236,-0.893,5.891,-0.156,0.458,-0.446,0.258,4.846,-0.131,5.031,5.921,4.871,4.987,5.889
6.43,6.046,0.389,0.128,6.306,-0.236,-0.156,0.458,-0.446,5.963,0.323,4.998,5.031,5.921,4.871,6.3
7.0,7.137,-0.14,0.279,6.718,0.389,-0.236,-0.156,0.458,7.054,-0.239,6.434,4.998,5.031,5.921,6.712
7.63,7.804,-0.178,0.515,7.11,-0.14,0.389,-0.236,-0.156,7.678,-0.124,6.997,6.434,4.998,5.031,7.101
8.1,7.804,0.299,0.634,7.469,-0.178,-0.14,0.389,-0.236,7.908,0.212,7.625,6.997,6.434,4.998,7.47
7.52,7.579,-0.06,-0.26,7.778,0.299,-0.178,-0.14,0.389,7.535,-0.14,8.103,7.625,6.997,6.434,7.78
7.69,7.801,-0.113,-0.336,8.024,-0.06,0.299,-0.178,-0.14,7.587,-0.163,7.519,8.103,7.625,6.997,8.031
8.46,8.449,0.01,0.267,8.192,-0.113,-0.06,0.299,-0.178,8.502,0.049,7.688,7.519,8.103,7.625,8.204
9.08,8.84,0.237,0.807,8.27,0.01,-0.113,-0.06,0.299,8.897,0.159,8.459,7.688,7.519,8.103,8.278
8.44,8.602,-0.163,0.167,8.273,0.237,0.01,-0.113,-0.06,8.616,-0.235,9.077,8.459,7.688,7.519,8.267
7.99,8.079,-0.092,-0.242,8.229,-0.163,0.237,0.01,-0.113,8.154,-0.099,8.439,9.077,8.459,7.688,8.227
7.94,7.722,0.218,-0.235,8.175,-0.092,-0.163,0.237,0.01,7.83,0.191,7.987,8.439,9.077,8.459,8.177
7.72,7.718,0.002,-0.425,8.145,0.218,-0.092,-0.163,0.237,7.601,-0.077,7.94,7.987,8.439,9.077,8.142
7.77,7.99,-0.216,-0.392,8.166,0.002,0.218,-0.092,-0.163,7.927,-0.204,7.72,7.94,7.987,8.439,8.164
8.58,8.318,0.264,0.347,8.235,-0.216,0.002,0.218,-0.092,8.285,0.162,7.774,7.72,7.94,7.987,8.247
